category,period,n_transactions,n_suppliers,total_spend,spend_share_within_period_pct,anomaly_rate_pct,new_supplier_rate_pct,hhi
OCCUPANCY GUARANTEE,pre_covid,1,1,37924.98,0.0,0.0,0.0,10000.0
OTHER AMBULANCE SERVICES,pre_covid,8,1,699254.88,0.003,0.0,0.0,10000.0
OTHER NURSING,covid,4,1,457064.88,0.001,0.0,0.0,10000.0
OTHER NURSING,pre_covid,3,1,311981.22000000003,0.001,0.0,0.0,10000.0
OTHER TRANSPORT COSTS,pre_covid,1,1,154356.22,0.001,0.0,0.0,10000.0
Other,post_covid,2,1,255628.39,0.0,0.0,0.0,10000.0
Other Clinical Costs,covid,3,1,987519.0,0.002,0.0,0.0,10000.0
Other Gen Supplies & Srv,covid,1,1,37951.24,0.0,0.0,100.0,10000.0
Other Gen Supplies & Srv,post_covid,1,1,126000.0,0.0,0.0,0.0,10000.0
Other Gen Supplies & Srv,pre_covid,3,2,146530.0,0.001,0.0,0.0,5128.3
Other Liabilities - Curr,covid,169,2,11660721.16,0.019,0.0,0.0,9494.7
Other Liabilities - Curr,post_covid,5,1,471837.37,0.0,0.0,0.0,10000.0
Other Liabilities - Curr,pre_covid,53,2,7721457.79,0.028,0.0,1.887,9932.5
Other NHS Payables <1Yr,covid,42,2,4286226.1,0.007,0.0,0.0,5008.5
Other NHS Payables <1Yr,post_covid,4,1,205207.41999999998,0.0,0.0,0.0,10000.0
Other NHS Payables <1Yr,pre_covid,19,1,965457.9099999999,0.004,0.0,0.0,10000.0
Other Operatg Rev Non NHS,covid,1,1,42330.68,0.0,0.0,100.0,10000.0
Other Patients Expenses,covid,8,2,256151.6,0.0,0.0,12.5,5309.9
Other Patients Expenses,pre_covid,1,1,26033.04,0.0,100.0,100.0,10000.0
Other Public Sector,covid,6,1,160500.0,0.0,0.0,16.667,10000.0
Other Public Sector,pre_covid,5,1,133750.0,0.0,0.0,0.0,10000.0
Other professional fees,covid,730,162,238207519.91599998,0.396,1.644,8.767,2241.7
Other professional fees,post_covid,1978,276,355517961.98249996,0.372,0.455,4.297,488.0
Other professional fees,pre_covid,238,79,39259015.379999995,0.144,0.42,3.782,2161.8
P&M Additions,covid,3,1,258936.02,0.0,0.0,0.0,10000.0
PATHOLOGY SERVICES,covid,4,1,3445983.0,0.006,0.0,0.0,10000.0
PATHOLOGY SERVICES,pre_covid,9,1,6927269.640000001,0.025,0.0,0.0,10000.0
PATIENT APPLIANCES,covid,2,1,60000.0,0.0,0.0,0.0,10000.0
PAYE,covid,11,1,23628193.909999996,0.039,0.0,0.0,10000.0
PAYE,pre_covid,32,1,56391130.64,0.206,0.0,0.0,10000.0
PHARMACY,covid,22,6,803486.8600000001,0.001,0.0,4.545,2719.7
