supplier,total_transactions,total_spend,mean_transaction_amount,ml_anomaly_rate,mean_ml_anomaly_score,rule_flag_rate,is_network_hub,composite_risk_score,risk_tier,community_id,community_size
DRS HA LEWIS & PARTNERS,11,2831015.31,257365.0281818182,0.0,-0.085237140302561,0.1818181818181818,False,66.38695987654322,Medium,,
THATCHAM HEALTH CENTRE,10,539433.06,53943.306,0.1,-0.0883222182086573,0.0,False,66.3869598765432,Medium,,
ADVANCED BUSINESS SOFTWARE AND SOLUTIONS LTD,11,5887372.55,535215.6863636364,0.0909090909090909,-0.0871830098217595,0.0,False,66.35802469135803,Medium,,
CONTACT A FAMILY,6,288401.66000000003,48066.943333333336,0.0,-0.0807352667433417,0.1666666666666666,False,66.35802469135803,Medium,0.0,590.0
MANNING GOTTLIEB OMD,655,96943688.65,148005.63152671757,0.0015267175572519,-0.124513113108752,0.1435114503816794,True,66.31944444444444,Medium,1.0,552.0
NDL SOFTWARE LTD,5,164800.0,32960.0,0.0,-0.0899446485400229,0.2,False,66.24228395061729,Medium,,
NHS PROPERTY SERVICES LTD,2803,229831749.74,81994.91606849805,0.0024973242953977,-0.1158839832850709,0.0931145201569746,False,66.24228395061728,Medium,,
UNIVERSITY OF SHEFFIELD,45,28906105.71,642357.9046666666,0.0222222222222222,-0.1437266377519725,0.2666666666666666,False,66.2133487654321,Medium,1.0,552.0
FIRST COMMUNITY HEALTH & CARE CIC,7,1452046.0,207435.14285714287,0.0,-0.0712254307497545,0.1428571428571428,False,66.2037037037037,Medium,,
TROPICAL HEALTH & EDUCATION TRUST,8,1150000.0,143750.0,0.0,-0.1107776863316118,0.375,False,66.19405864197532,Medium,,
UNIVERSITY OF BATH,11,6075771.0,552342.8181818182,0.0,-0.1016250769070989,0.2727272727272727,False,66.14101080246914,Medium,,
FRANCOTYP POSTALIA,15,486105.74,32407.04933333333,0.0,-0.1083670237916727,0.3333333333333333,False,66.11689814814814,Medium,,
BIDEFORD MEDICAL CENTRE BIDEFORD,5,421867.51,84373.50200000001,0.2,-0.0950459313305386,0.0,False,66.10725308641975,Medium,,
SYNNOVIS ANALYTICS LLP,7,875910.96,125130.13714285714,0.0,-0.0724086029996563,0.1428571428571428,False,66.09760802469135,Medium,,
LORDSWOOD MEDICAL GROUP,10,430705.48,43070.548,0.1,-0.0897432510668644,0.0,False,66.06867283950616,Medium,,
BASSETT ROAD MEDICAL PRACTICE,7,448558.9,64079.84285714286,0.1428571428571428,-0.0926815624813722,0.0,False,66.01080246913581,Medium,,
METRO CENTRE LTD,10,489847.0,48984.7,0.0,-0.1138368728969631,0.5,False,65.97704475308642,Medium,,
DR F MCCLOGHRY & PARTNERS,6,321851.62,53641.93666666667,0.1666666666666666,-0.0940080921985593,0.0,False,65.97222222222221,Medium,2.0,317.0
